cycle,time 3.9v,time 4.0v,time 4.1v,time 4.2v,time end,SoH,cell
2,436.594,1336.047,2409.828,3180.188,7624.5779999999995,0.9275022603955408,B0018
3,525.672,1484.328,2454.8129999999946,3178.1879999999946,7628.203000000009,0.9215977658544994,B0018
4,516.219,1469.547,2437.656,3154.437,7651.516,0.9198009212177711,B0018
5,430.281,1349.188,2380.578,3129.266,7677.3279999999995,0.9153368022481027,B0018
6,692.047,1669.532,2518.172,3178.094,7626.749999999999,0.9163501034709828,B0018
7,691.0789999999979,1666.1100000000006,2515.6570000000065,3163.797000000006,7642.437999999995,0.9142644423023194,B0018
8,670.687,1638.859,2480.281,3130.328,7677.203000000001,0.9106005947848962,B0018
9,667.047,1616.329,2461.235,3111.422,7695.641,0.9075850053216641,B0018
10,382.703,1290.047,2311.766,3044.813,7761.0779999999995,0.9021490260483824,B0018
11,679.469,1644.438,2493.516,3143.672,7662.359,0.9115501151422113,B0018
12,675.406,1640.391,2477.281,3127.016,7515.967999999997,0.9060626760127747,B0018
13,657.016,1605.61,2443.688,3092.235,7678.9529999999995,0.9023458191058883,B0018
14,633.922,1568.187,2406.843,3053.5,7740.906000000001,0.8954221748931475,B0018
15,407.313,1339.672,2298.828,3009.578,7799.094000000001,0.891735361420963,B0018
16,629.781,1558.531,2392.266,3033.422,7755.405999999999,0.8904693062655351,B0018
17,630.453,1561.516,2389.047,3021.828,7667.766,0.885604519836349,B0018
18,618.484,1537.672,2361.25,2995.8429999999935,7674.8290000000125,0.8843151998353538,B0018
19,592.016,1493.781,2318.188,2955.219,7701.047,0.8768152400958562,B0018
20,411.219,1320.391,2229.36,2915.719,7892.5160000000005,0.8731098708207546,B0018
21,574.61,1442.516,2271.938,2908.594,7898.124999999999,0.8688323668526868,B0018
22,556.328,1414.078,2239.797,2872.734,6829.266,0.8657583367737918,B0018
23,547.11,1394.469,2222.578,2855.422,7950.891,0.8542974947235301,B0018
24,539.11,1375.5320000000065,2196.125,2828.5629999999946,7938.609000000011,0.8557349785341055,B0018
25,257.468,1080.468,2055.687,2766.437,8039.7029999999995,0.8537510686636314,B0018
26,586.891,1465.344,2289.703,2918.297,7727.484,0.8746191032180114,B0018
27,584.531,1461.625,2281.594,2898.203,7656.703000000001,0.8663848573714977,B0018
28,562.859,1436.328,2247.812,2865.531,7613.844,0.8611156664146188,B0018
29,549.297,1405.485,2218.094,2829.735,7692.3279999999995,0.8559231494923645,B0018
30,372.688,1247.547,2126.625,2787.875,7976.468999999999,0.8496339175633435,B0018
31,520.125,1349.297,2152.547,2775.062,7781.016,0.8470183219621553,B0018
32,509.843,1326.953,2128.875,2740.234,7806.4529999999995,0.8409513539384044,B0018
