iter	Passed	Remaining
0	1	1705
1	2	1492
2	4	1438
3	5	1412
4	6	1379
5	8	1397
6	9	1403
7	11	1417
8	12	1421
9	14	1414
10	15	1402
11	16	1388
12	18	1385
13	19	1375
14	20	1366
15	22	1361
16	23	1369
17	25	1367
18	26	1357
19	27	1351
20	28	1349
21	30	1347
22	31	1339
23	32	1335
24	34	1330
25	35	1331
26	36	1332
27	38	1331
28	39	1332
29	41	1335
30	42	1331
31	43	1328
32	45	1324
33	46	1321
34	47	1319
35	49	1318
36	50	1315
37	51	1310
38	53	1308
39	54	1303
40	55	1300
41	56	1297
42	58	1295
43	59	1297
44	61	1301
45	62	1302
46	64	1298
47	65	1296
48	66	1293
49	67	1291
50	69	1287
51	70	1284
52	71	1282
53	73	1280
54	74	1280
55	75	1279
56	77	1276
57	78	1273
58	79	1270
59	80	1268
60	82	1266
61	83	1264
62	84	1263
63	86	1261
64	87	1261
65	89	1259
66	90	1258
67	91	1258
68	93	1255
69	94	1253
70	95	1251
71	97	1250
72	98	1248
73	99	1248
74	101	1247
75	102	1246
76	103	1244
77	105	1242
78	106	1242
79	107	1241
80	109	1239
81	110	1237
82	111	1236
83	113	1235
84	114	1233
85	115	1231
86	117	1229
87	118	1227
88	119	1225
89	121	1224
90	122	1222
91	123	1221
92	125	1222
93	126	1223
94	128	1221
95	129	1223
96	131	1222
97	132	1219
98	133	1217
99	135	1219
100	137	1222
101	139	1225
102	140	1225
103	142	1226
104	143	1225
105	145	1227
106	147	1228
107	148	1229
108	150	1231
109	152	1230
110	153	1228
111	154	1226
112	156	1224
113	157	1222
114	158	1221
115	159	1218
116	161	1216
117	162	1214
118	163	1213
119	165	1211
120	166	1210
121	167	1208
122	169	1206
123	170	1204
124	171	1202
125	172	1199
126	174	1197
127	175	1195
128	177	1195
129	178	1193
130	179	1192
131	181	1190
132	182	1188
133	183	1186
134	184	1184
135	186	1182
136	187	1181
137	189	1181
138	190	1180
139	191	1178
140	193	1176
141	194	1176
142	195	1174
143	197	1172
144	198	1170
145	199	1169
146	201	1167
147	202	1165
148	203	1163
149	205	1162
150	206	1160
151	207	1158
152	209	1157
153	210	1155
154	211	1154
155	213	1153
156	214	1151
157	215	1150
158	217	1148
159	218	1146
160	219	1144
161	220	1142
162	222	1141
163	223	1139
164	224	1138
165	226	1136
166	227	1135
167	228	1133
168	230	1132
169	231	1131
170	233	1130
171	234	1128
172	235	1127
173	237	1125
174	238	1123
175	239	1123
176	241	1121
177	242	1119
178	243	1117
179	245	1116
180	246	1114
181	247	1112
182	248	1110
183	250	1108
184	251	1107
185	252	1105
186	254	1104
187	255	1102
188	256	1101
189	257	1099
190	259	1098
191	260	1096
192	261	1094
193	263	1092
194	264	1091
195	265	1090
196	266	1088
197	268	1086
198	269	1085
199	271	1084
200	272	1082
201	273	1080
202	274	1079
203	276	1077
204	277	1075
205	278	1075
206	280	1073
207	281	1071
208	282	1069
209	283	1068
210	285	1067
211	287	1067
212	288	1066
213	290	1065
214	291	1065
215	293	1065
216	295	1065
217	296	1064
218	298	1064
219	299	1063
220	301	1062
221	302	1061
222	304	1060
223	306	1060
224	307	1058
225	308	1056
226	309	1054
227	311	1053
228	312	1051
229	313	1049
230	314	1048
231	316	1046
232	317	1045
233	318	1043
234	320	1042
235	321	1040
236	322	1039
237	324	1037
238	325	1035
239	326	1034
240	327	1032
241	329	1031
242	330	1030
243	332	1029
244	333	1028
245	334	1026
246	336	1024
247	337	1023
248	338	1021
249	340	1020
250	341	1018
251	342	1017
252	344	1015
253	345	1014
254	346	1013
255	348	1012
256	349	1010
257	350	1009
258	352	1007
259	353	1006
260	354	1004
261	356	1003
262	357	1001
263	358	1000
264	360	999
265	361	997
266	362	996
267	364	994
268	365	993
269	366	991
270	368	990
271	369	989
272	370	987
273	372	986
274	373	984
275	374	982
276	376	981
277	377	980
278	378	978
279	379	976
280	381	975
281	382	973
282	383	972
283	385	970
284	386	969
285	387	967
286	388	966
287	390	964
288	391	963
289	392	961
290	394	960
291	395	958
292	396	956
293	397	955
294	398	953
295	400	951
296	401	950
297	402	949
298	404	947
299	405	946
300	406	944
301	408	943
302	409	941
303	410	940
304	411	938
305	413	937
306	414	935
307	415	933
308	417	932
309	418	931
310	419	930
311	421	929
312	423	928
313	424	928
314	426	927
315	428	926
316	429	925
317	431	924
318	432	923
319	434	922
320	435	921
321	437	920
322	439	920
323	440	919
324	442	918
325	444	918
326	445	917
327	447	916
328	448	915
329	450	914
330	452	913
331	453	912
332	454	911
333	456	910
334	458	909
335	459	908
336	461	907
337	462	905
338	464	905
339	465	904
340	467	903
341	468	901
342	470	900
343	471	899
344	472	897
345	474	896
346	475	894
347	476	893
348	478	891
349	479	890
350	480	889
351	482	887
352	483	886
353	485	885
354	486	884
355	488	882
356	489	881
357	490	880
358	492	878
359	493	877
360	494	875
361	496	874
362	497	873
363	499	871
364	500	870
365	502	869
366	503	868
367	505	867
368	506	866
369	508	865
370	509	864
371	511	862
372	512	861
373	513	860
374	515	859
375	516	857
376	518	856
377	519	855
378	521	854
379	522	853
380	524	852
381	525	850
382	527	849
383	528	848
384	530	847
385	531	845
386	533	844
387	534	843
388	536	841
389	537	840
390	539	839
391	540	838
392	541	836
393	543	835
394	544	834
395	546	833
396	547	832
397	549	830
398	550	829
399	552	828
400	553	827
401	554	825
402	556	824
403	557	822
404	558	821
405	560	819
406	561	818
407	563	817
408	564	815
409	565	814
410	567	812
411	568	811
412	570	810
413	571	808
414	572	807
415	574	805
416	575	804
417	576	803
418	578	801
419	579	800
420	580	798
421	581	796
422	583	795
423	585	795
424	587	794
425	588	793
426	590	792
427	591	790
428	593	789
429	594	788
430	595	786
431	597	785
432	599	784
433	600	783
434	602	782
435	604	781
436	605	780
437	607	778
438	608	777
439	610	776
440	611	775
441	613	774
442	615	773
443	616	772
444	618	770
445	619	769
446	621	768
447	622	767
448	624	766
449	625	764
450	626	763
451	628	761
452	629	760
453	630	758
454	632	757
455	633	755
456	634	754
457	636	752
458	637	751
459	638	749
460	639	748
461	641	746
462	642	745
463	643	743
464	644	742
465	646	740
466	647	738
467	648	737
468	650	736
469	651	734
470	652	733
471	654	731
472	655	730
473	656	728
474	658	727
475	659	726
476	661	724
477	662	723
478	664	722
479	665	720
480	666	719
481	667	717
482	669	716
483	670	715
484	672	713
485	673	712
486	674	710
487	676	709
488	677	708
489	678	706
490	680	705
491	681	703
492	682	702
493	684	700
494	685	699
495	686	698
496	688	696
497	689	695
498	691	693
499	692	692
500	693	690
501	694	689
502	696	687
503	697	686
504	698	685
505	700	683
506	701	682
507	702	680
508	704	679
509	705	677
510	706	676
511	708	674
512	709	673
513	710	671
514	711	670
515	713	669
516	714	667
517	715	666
518	717	664
519	718	663
520	720	662
521	721	660
522	722	659
523	724	657
524	725	656
525	726	655
526	728	653
527	729	652
528	730	650
529	732	649
530	733	647
531	734	646
532	736	644
533	737	643
534	738	642
535	740	640
536	741	639
537	743	638
538	744	636
539	745	635
540	747	633
541	748	632
542	750	631
543	752	630
544	753	629
545	755	628
546	757	626
547	758	625
548	759	624
549	761	623
550	762	621
551	764	620
552	766	619
553	767	618
554	769	616
555	770	615
556	772	614
557	773	612
558	775	611
559	776	610
560	778	608
561	779	607
562	780	606
563	782	604
564	783	603
565	785	601
566	786	600
567	787	599
568	789	597
569	790	596
570	792	595
571	794	594
572	796	593
573	797	591
574	799	590
575	800	589
576	802	588
577	804	587
578	805	585
579	807	584
580	809	583
581	810	582
582	812	581
583	814	580
584	815	578
585	817	577
586	819	576
587	820	575
588	822	573
589	823	572
590	825	571
591	827	570
592	828	568
593	830	567
594	832	566
595	833	565
596	835	564
597	837	562
598	839	561
599	840	560
600	842	559
601	844	558
602	845	556
603	847	555
604	849	554
605	851	553
606	852	552
607	854	551
608	856	549
609	857	548
610	859	547
611	861	546
612	862	544
613	864	543
614	866	542
615	867	541
616	869	539
617	871	538
618	872	537
619	874	536
620	876	534
621	877	533
622	879	532
623	881	531
624	882	529
625	884	528
626	886	527
627	888	526
628	889	524
629	891	523
630	893	522
631	894	521
632	896	519
633	898	518
634	899	517
635	901	515
636	902	514
637	904	513
638	905	511
639	907	510
640	908	508
641	910	507
642	911	506
643	913	504
644	914	503
645	916	502
646	918	500
647	919	499
648	920	498
649	922	496
650	923	495
651	925	493
652	926	492
653	928	491
654	930	489
655	931	488
656	933	487
657	935	486
658	936	484
659	938	483
660	940	482
661	942	480
662	943	479
663	945	478
664	947	477
665	948	475
666	950	474
667	951	473
668	953	471
669	955	470
670	956	469
671	958	467
672	960	466
673	961	465
674	963	463
675	964	462
676	966	461
677	967	459
678	969	458
679	970	456
680	972	455
681	973	454
682	975	452
683	977	451
684	978	450
685	980	448
686	981	447
687	983	445
688	984	444
689	985	442
690	987	441
691	988	440
692	989	438
693	991	437
694	992	435
695	994	434
696	995	432
697	996	431
698	998	429
699	999	428
700	1000	426
701	1002	425
702	1003	423
703	1005	422
704	1006	421
705	1007	419
706	1009	418
707	1010	416
708	1011	415
709	1013	413
710	1014	412
711	1015	410
712	1016	409
713	1018	407
714	1019	406
715	1021	405
716	1022	403
717	1023	402
718	1025	400
719	1026	399
720	1027	397
721	1029	396
722	1030	394
723	1031	393
724	1033	391
725	1034	390
726	1035	388
727	1037	387
728	1038	386
729	1039	384
730	1041	383
731	1042	381
732	1043	380
733	1045	378
734	1046	377
735	1047	375
736	1049	374
737	1050	372
738	1051	371
739	1053	370
740	1054	368
741	1055	367
742	1057	365
743	1058	364
744	1060	362
745	1061	361
746	1063	360
747	1064	358
748	1065	357
749	1067	355
